target,feat1,feat3
0.96701,17.458,0.0015444
0.96128,17.5,0.0018161
0.95896,17.542,0.0016718
0.96494,17.583,0.0017099
0.95819,17.625,0.0017776
0.96314,17.667,0.0015543
0.97371,17.708,0.0011998
0.96832,17.75,0.0013309
0.97147,17.792,0.0016187
0.95398,17.833,0.0019468
0.96753,17.875,0.0018686
0.97043,17.917,0.0017714
0.96979,17.958,0.001404
0.96966,18.0,0.0018693
0.96376,18.042,0.0012683
0.9664,18.083,0.0014702
0.96056,18.125,0.0016777
0.95627,18.167,0.0013157
0.95801,18.208,0.0016984
0.95496,18.25,0.0017699
0.95663,18.292,0.0015585
0.96328,18.333,0.0016132
0.95136,18.375,0.0012613
0.95111,18.417,0.001771
0.95235,18.458,0.0013797
0.95891,18.5,0.0021573
0.94483,18.542,0.0021473
0.95565,18.583,0.0021408
0.95781,18.625,0.0021699
0.94654,18.667,0.002159
0.95155,18.708,0.0021402
0.94311,18.75,0.0015242
0.94248,18.792,0.0019157
0.94561,18.833,0.0013534
0.93753,18.875,0.0014376
0.94736,18.917,0.0015238
0.9464,18.958,0.0019232
0.93687,19.0,0.0014178
0.94309,19.042,0.001935
0.94338,19.083,0.0014942
0.93742,19.125,0.0015329
0.9487,19.167,0.0015283
0.93966,19.208,0.0014953
0.94548,19.25,0.012881
0.936,19.292,0.010327
0.94329,19.333,0.010344
0.94401,19.375,0.011642
0.94418,19.417,0.011704
0.94538,19.458,0.011796
0.94253,19.5,0.011693
0.93279,19.542,0.00053612
0.94107,19.583,0.00097602
0.93695,19.625,0.0074118
0.94598,19.667,0.0071013
0.9361,19.708,0.0071759
0.92983,19.75,0.0070736
0.93825,19.792,0.0071239
0.9321,19.833,0.0049024
0.93897,19.875,0.005084
0.94397,19.917,0.0046665
0.94588,19.958,0.0017847
0.94278,20.0,0.0017483
0.94164,20.042,0.0014239
0.94508,20.083,0.0015082
0.93277,20.125,0.0011571
0.94399,20.167,0.0015071
0.94091,20.208,0.0018932
0.93176,20.25,0.0015575
0.94335,20.292,0.0018701
0.92682,20.333,0.0013772
0.92697,20.375,0.0016995
0.93995,20.417,0.0014114
0.93306,20.458,0.0017405
0.92845,20.5,0.0020823
0.93993,20.542,0.0016633
0.93088,20.583,0.0009425
0.92604,20.625,0.00039342
0.93831,20.667,0.001117
0.92389,20.708,0.0010457
0.94086,20.75,0.00081953
0.92666,20.792,0.0010679
0.93707,20.833,0.000758
0.93076,20.875,0.0013477
0.92625,20.917,0.0012912
0.92804,20.958,0.0012161
0.93148,21.0,0.0015516
0.93228,21.042,0.0014634
0.93298,21.083,0.0012583
0.92631,21.125,0.0012684
0.93838,21.167,0.0011817
0.91997,21.208,0.0013442
0.935,21.25,0.0018084
0.92766,21.292,0.001014
0.92877,21.333,0.0012273
0.9194,21.375,0.00097348
0.91915,21.417,0.0012912
0.92037,21.458,0.0014097
0.93524,21.5,0.0010694
0.92379,21.542,0.0014996
0.92814,21.583,0.0013403
0.93005,21.625,0.0013891
0.9265,21.667,0.0012825
0.92298,21.708,0.0013705
0.92568,21.75,0.001337
0.92463,21.792,0.00141
0.92113,21.833,0.0013629
0.91713,21.875,0.0013597
0.92167,21.917,0.0011164
0.93089,21.958,0.0014569
0.93297,22.0,0.0013464
0.92833,22.042,0.0017247
0.93156,22.083,0.0013935
0.92827,22.125,0.0012339
0.92205,22.167,0.0011865
0.91807,22.208,0.0013487
0.91344,22.25,0.0012525
0.92891,22.292,0.0012549
0.93013,22.333,0.0014513
0.92338,22.375,0.00089403
0.92209,22.417,0.0014911
0.91683,22.458,0.0012832
0.92509,22.5,0.0013038
0.91137,22.542,0.0014771
0.91315,22.583,0.001379
0.92215,22.625,0.0011911
0.92375,22.667,0.0013809
0.9165,22.708,0.0018275
0.91545,22.75,0.00119
0.91642,22.792,0.00055522
0.91889,22.833,0.0013418
0.92606,22.875,0.001581
0.92449,22.917,0.0018914
0.9114,22.958,0.0014016
0.92103,23.0,0.0014089
0.91471,23.042,0.0014017
0.91502,23.083,0.0013969
0.91478,23.125,0.001412
0.9232,23.167,0.0013916
0.91705,23.208,0.0014087
0.91737,23.25,0.0014015
0.90755,23.292,0.0013954
0.91702,23.333,0.0014066
0.92365,23.375,0.0014105
0.91343,23.417,0.0013985
0.92049,23.458,0.0014058
0.90617,23.5,0.0013907
0.91625,23.542,0.0014124
0.90448,23.583,0.001412
0.91023,23.625,0.0014084
0.9122,23.667,0.0013919
0.91283,23.708,0.0013996
0.90572,23.75,0.0014474
0.91349,23.792,0.0014476
0.90437,23.833,0.0014394
0.90835,23.875,0.0014264
0.91547,23.917,0.0014408
0.9134,23.958,0.0014467
0.90982,24.0,0.0014323
0.9167,24.042,0.0014374
0.9042,24.083,0.0014459
0.90426,24.125,0.0014333
0.9079,24.167,0.0014535
0.90347,24.208,0.0014363
0.91046,24.25,0.0014268
0.90089,24.292,0.0014267
0.90365,24.333,0.001454
0.91574,24.375,0.0014354
0.91407,24.417,0.0014514
0.91142,24.458,0.0014394
0.9092,24.5,0.0014274
0.90697,24.542,0.0014318
0.89936,24.583,0.0014298
0.8995,24.625,0.0014392
0.90468,24.667,0.0014518
0.89658,24.708,0.0014459
0.90938,24.75,0.0014499
0.91139,24.792,0.0014268
0.9021,24.833,0.0014477
0.90085,24.875,0.0014437
0.89813,24.917,2.4148e-05
0.90352,24.958,2.3503e-05
0.89751,25.0,0.0019692
0.90993,25.042,0.0018214
0.90713,25.083,0.0021548
0.9058,25.125,0.0018449
0.89991,25.167,0.0020758
0.89308,25.208,0.001871
0.90473,25.25,0.00179
0.89584,25.292,0.0017075
0.89031,25.333,0.0022325
0.88771,25.375,0.0017038
0.8843,25.417,0.0019842
0.89368,25.458,0.0022539
0.88282,25.5,0.0022681
0.89184,25.542,0.0020234
0.88233,25.583,0.0020702
0.88485,25.625,0.0023865
0.88764,25.667,0.0017902
0.87529,25.708,0.0019569
0.87653,25.75,0.0020588
0.87125,25.792,0.0022643
0.87353,25.833,0.0019578
0.87093,25.875,0.0019586
0.87493,25.917,0.0020145
0.86304,25.958,0.0015596
0.86283,26.0,0.0016611
0.87201,26.042,0.0019039
0.85953,26.083,0.0022321
0.85774,26.125,0.0017107
0.86717,26.167,0.0020185
0.85834,26.208,0.0019589
0.86422,26.25,0.0014354
0.84816,26.292,0.0015302
0.84863,26.333,0.0020394
0.85214,26.375,0.0019254
0.84119,26.417,0.0015478
0.85474,26.458,0.0022487
0.84336,26.5,0.00221
0.85004,26.542,0.0017652
0.84924,26.583,0.0016928
0.84167,26.625,0.0017652
0.83728,26.667,0.0022266
0.83879,26.708,0.0023158
0.82731,26.75,4.7256e-05
0.83085,26.792,5.8933e-05
0.83746,26.833,2.3039e-05
0.83394,26.875,0.000143
0.81855,26.917,0.00014405
0.8297,26.958,0.00014385
0.8252,27.0,0.00014411
0.82685,27.042,0.00014231
0.81695,27.083,0.0001444
0.81555,27.125,0.00014327
0.81344,27.167,0.00014318
0.80812,27.208,0.00014326
0.81061,27.25,2.2999e-05
0.81646,27.292,5.0514e-05
0.80648,27.333,3.3867e-05
0.79877,27.375,2.2814e-05
0.80324,27.417,2.5506e-05
0.80531,27.458,2.5492e-05
0.80681,27.5,2.5839e-05
0.7919,27.542,0.00014555
0.79294,27.583,3.7847e-05
0.79569,27.625,4.0205e-05
0.78545,27.667,2.1998e-05
0.78356,27.708,2.2234e-05
0.78865,27.75,2.2206e-05
0.78161,27.792,3.0622e-05
0.78782,27.833,3.5843e-05
0.77988,27.875,2.8113e-05
0.78268,27.917,2.2217e-05
0.78426,27.958,2.2536e-05
0.77169,28.0,2.2401e-05
0.77686,28.042,2.2482e-05
0.77658,28.083,2.2508e-05
0.76687,28.125,2.2561e-05
0.76409,28.167,2.2347e-05
0.77499,28.208,2.2566e-05
0.76381,28.25,2.2326e-05
0.76686,28.292,2.2319e-05
0.764,28.333,2.3817e-05
0.75462,28.375,0.00011006
0.75418,28.417,3.4648e-05
0.76099,28.458,2.2214e-05
0.75444,28.5,2.85e-05
0.74868,28.542,2.7379e-05
0.74762,28.583,3.0511e-05
0.75735,28.625,2.3686e-05
0.7535,28.667,2.3612e-05
0.74716,28.708,2.3628e-05
0.73854,28.75,2.3713e-05
0.74553,28.792,2.3277e-05
0.74768,28.833,2.8363e-05
0.73194,28.875,2.2751e-05
0.73994,28.917,2.3144e-05
0.73643,28.958,2.5163e-05
0.7363,29.0,5.8766e-05
0.73513,29.042,2.2623e-05
0.72436,29.083,2.4824e-05
0.72945,29.125,0.0047413
0.72475,29.167,0.0047843
0.72728,29.208,0.0050119
0.71501,29.25,0.0048887
0.71865,29.292,0.004848
0.7127,29.333,0.0047343
0.72026,29.375,0.0051481
0.72096,29.417,0.0049013
